id,name,owner,watchers,created_at,updated_at,size,stars,open_issues_count,forks,description,topics,topic
145553672,funNLP,fighting41love,69141,2018-08-21T11:20:39Z,2024-11-16T14:41:51Z,174188,69141,128,14517,"中英文敏感词、语言检测、中外手机/电话归属地/运营商查询、名字推断性别、手机号抽取、身份证抽取、邮箱抽取、中日文人名库、中文缩写库、拆字词典、词汇情感值、停用词、反动词表、暴恐词表、繁简体转换、英文模拟中文发音、汪峰歌词生成器、职业名称词库、同义词库、反义词库、否定词库、汽车品牌词库、汽车零件词库、连续英文切割、各种中文词向量、公司名字大全、古诗词库、IT词库、财经词库、成语词库、地名词库、历史名人词库、诗词词库、医学词库、饮食词库、法律词库、汽车词库、动物词库、中文聊天语料、中文谣言数据、百度中文问答数据集、句子相似度匹配算法集合、bert资源、文本生成&摘要相关工具、cocoNLP信息抽取工具、国内电话号码正则匹配、清华大学XLORE:中英文跨语言百科知识图谱、清华大学人工智能技术系列报告、自然语言生成、NLU太难了系列、自动对联数据及机器人、用户名黑名单列表、罪名法务名词及分类模型、微信公众号语料、cs224n深度学习自然语言处理课程、中文手写汉字识别、中文自然语言处理 语料/数据集、变量命名神器、分词语料库+代码、任务型对话英文数据集、ASR 语音数据集 + 基于深度学习的中文语音识别系统、笑声检测器、Microsoft多语言数字/单位/如日期时间识别包、中华新华字典数据库及api(包括常用歇后语、成语、词语和汉字)、文档图谱自动生成、SpaCy 中文模型、Common Voice语音识别数据集新版、神经网络关系抽取、基于bert的命名实体识别、关键词(Keyphrase)抽取包pke、基于医疗领域知识图谱的问答系统、基于依存句法与语义角色标注的事件三元组抽取、依存句法分析4万句高质量标注数据、cnocr：用来做中文OCR的Python3包、中文人物关系知识图谱项目、中文nlp竞赛项目及代码汇总、中文字符数据、speech-aligner: 从“人声语音”及其“语言文本”产生音素级别时间对齐标注的工具、AmpliGraph: 知识图谱表示学习(Python)库：知识图谱概念链接预测、Scattertext 文本可视化(python)、语言/知识表示工具：BERT & ERNIE、中文对比英文自然语言处理NLP的区别综述、Synonyms中文近义词工具包、HarvestText领域自适应文本挖掘工具（新词发现-情感分析-实体链接等）、word2word：(Python)方便易用的多语言词-词对集：62种语言/3,564个多语言对、语音识别语料生成工具：从具有音频/字幕的在线视频创建自动语音识别(ASR)语料库、构建医疗实体识别的模型（包含词典和语料标注）、单文档非监督的关键词抽取、Kashgari中使用gpt-2语言模型、开源的金融投资数据提取工具、文本自动摘要库TextTeaser: 仅支持英文、人民日报语料处理工具集、一些关于自然语言的基本模型、基于14W歌曲知识库的问答尝试--功能包括歌词接龙and已知歌词找歌曲以及歌曲歌手歌词三角关系的问答、基于Siamese bilstm模型的相似句子判定模型并提供训练数据集和测试数据集、用Transformer编解码模型实现的根据Hacker News文章标题自动生成评论、用BERT进行序列标记和文本分类的模板代码、LitBank：NLP数据集——支持自然语言处理和计算人文学科任务的100部带标记英文小说语料、百度开源的基准信息抽取系统、虚假新闻数据集、Facebook: LAMA语言模型分析，提供Transformer-XL/BERT/ELMo/GPT预训练语言模型的统一访问接口、CommonsenseQA：面向常识的英文QA挑战、中文知识图谱资料、数据及工具、各大公司内部里大牛分享的技术文档 PDF 或者 PPT、自然语言生成SQL语句（英文）、中文NLP数据增强（EDA）工具、英文NLP数据增强工具 、基于医药知识图谱的智能问答系统、京东商品知识图谱、基于mongodb存储的军事领域知识图谱问答项目、基于远监督的中文关系抽取、语音情感分析、中文ULMFiT-情感分析-文本分类-语料及模型、一个拍照做题程序、世界各国大规模人名库、一个利用有趣中文语料库 qingyun 训练出来的中文聊天机器人、中文聊天机器人seqGAN、省市区镇行政区划数据带拼音标注、教育行业新闻语料库包含自动文摘功能、开放了对话机器人-知识图谱-语义理解-自然语言处理工具及数据、中文知识图谱：基于百度百科中文页面-抽取三元组信息-构建中文知识图谱、masr: 中文语音识别-提供预训练模型-高识别率、Python音频数据增广库、中文全词覆盖BERT及两份阅读理解数据、ConvLab：开源多域端到端对话系统平台、中文自然语言处理数据集、基于最新版本rasa搭建的对话系统、基于TensorFlow和BERT的管道式实体及关系抽取、一个小型的证券知识图谱/知识库、复盘所有NLP比赛的TOP方案、OpenCLaP：多领域开源中文预训练语言模型仓库、UER：基于不同语料+编码器+目标任务的中文预训练模型仓库、中文自然语言处理向量合集、基于金融-司法领域(兼有闲聊性质)的聊天机器人、g2pC：基于上下文的汉语读音自动标记模块、Zincbase 知识图谱构建工具包、诗歌质量评价/细粒度情感诗歌语料库、快速转化「中文数字」和「阿拉伯数字」、百度知道问答语料库、基于知识图谱的问答系统、jieba_fast 加速版的jieba、正则表达式教程、中文阅读理解数据集、基于BERT等最新语言模型的抽取式摘要提取、Python利用深度学习进行文本摘要的综合指南、知识图谱深度学习相关资料整理、维基大规模平行文本语料、StanfordNLP 0.2.0：纯Python版自然语言处理包、NeuralNLP-NeuralClassifier：腾讯开源深度学习文本分类工具、端到端的封闭域对话系统、中文命名实体识别：NeuroNER vs. BertNER、新闻事件线索抽取、2019年百度的三元组抽取比赛：“科学空间队”源码、基于依存句法的开放域文本知识三元组抽取和知识库构建、中文的GPT2训练代码、ML-NLP - 机器学习(Machine Learning)NLP面试中常考到的知识点和代码实现、nlp4han:中文自然语言处理工具集(断句/分词/词性标注/组块/句法分析/语义分析/NER/N元语法/HMM/代词消解/情感分析/拼写检查、XLM：Facebook的跨语言预训练语言模型、用基于BERT的微调和特征提取方法来进行知识图谱百度百科人物词条属性抽取、中文自然语言处理相关的开放任务-数据集-当前最佳结果、CoupletAI - 基于CNN+Bi-LSTM+Attention 的自动对对联系统、抽象知识图谱、MiningZhiDaoQACorpus - 580万百度知道问答数据挖掘项目、brat rapid annotation tool: 序列标注工具、大规模中文知识图谱数据：1.4亿实体、数据增强在机器翻译及其他nlp任务中的应用及效果、allennlp阅读理解:支持多种数据和模型、PDF表格数据提取工具 、 Graphbrain：AI开源软件库和科研工具，目的是促进自动意义提取和文本理解以及知识的探索和推断、简历自动筛选系统、基于命名实体识别的简历自动摘要、中文语言理解测评基准，包括代表性的数据集&基准模型&语料库&排行榜、树洞 OCR 文字识别 、从包含表格的扫描图片中识别表格和文字、语声迁移、Python口语自然语言处理工具集(英文)、 similarity：相似度计算工具包，java编写、海量中文预训练ALBERT模型 、Transformers 2.0 、基于大规模音频数据集Audioset的音频增强 、Poplar：网页版自然语言标注工具、图片文字去除，可用于漫画翻译 、186种语言的数字叫法库、Amazon发布基于知识的人-人开放领域对话数据集 、中文文本纠错模块代码、繁简体转换 、 Python实现的多种文本可读性评价指标、类似于人名/地名/组织机构名的命名体识别数据集 、东南大学《知识图谱》研究生课程(资料)、. 英文拼写检查库 、 wwsearch是企业微信后台自研的全文检索引擎、CHAMELEON：深度学习新闻推荐系统元架构 、 8篇论文梳理BERT相关模型进展与反思、DocSearch：免费文档搜索引擎、 LIDA：轻量交互式对话标注工具 、aili - the fastest in-memory index in the East 东半球最快并发索引 、知识图谱车音工作项目、自然语言生成资源大全 、中日韩分词库mecab的Python接口库、中文文本摘要/关键词提取、汉字字符特征提取器 (featurizer)，提取汉字的特征（发音特征、字形特征）用做深度学习的特征、中文生成任务基准测评 、中文缩写数据集、中文任务基准测评 - 代表性的数据集-基准(预训练)模型-语料库-baseline-工具包-排行榜、PySS3：面向可解释AI的SS3文本分类器机器可视化工具 、中文NLP数据集列表、COPE - 格律诗编辑程序、doccano：基于网页的开源协同多语言文本标注工具 、PreNLP：自然语言预处理库、简单的简历解析器，用来从简历中提取关键信息、用于中文闲聊的GPT2模型：GPT2-chitchat、基于检索聊天机器人多轮响应选择相关资源列表(Leaderboards、Datasets、Papers)、(Colab)抽象文本摘要实现集锦(教程 、词语拼音数据、高效模糊搜索工具、NLP数据增广资源集、微软对话机器人框架 、 GitHub Typo Corpus：大规模GitHub多语言拼写错误/语法错误数据集、TextCluster：短文本聚类预处理模块 Short text cluster、面向语音识别的中文文本规范化、BLINK：最先进的实体链接库、BertPunc：基于BERT的最先进标点修复模型、Tokenizer：快速、可定制的文本词条化库、中文语言理解测评基准，包括代表性的数据集、基准(预训练)模型、语料库、排行榜、spaCy 医学文本挖掘与信息提取 、 NLP任务示例项目代码集、 python拼写检查库、chatbot-list - 行业内关于智能客服、聊天机器人的应用和架构、算法分享和介绍、语音质量评价指标(MOSNet, BSSEval, STOI, PESQ, SRMR)、 用138GB语料训练的法文RoBERTa预训练语言模型 、BERT-NER-Pytorch：三种不同模式的BERT中文NER实验、无道词典 - 有道词典的命令行版本，支持英汉互查和在线查询、2019年NLP亮点回顾、 Chinese medical dialogue data 中文医疗对话数据集 、最好的汉字数字(中文数字)-阿拉伯数字转换工具、 基于百科知识库的中文词语多词义/义项获取与特定句子词语语义消歧、awesome-nlp-sentiment-analysis - 情感分析、情绪原因识别、评价对象和评价词抽取、LineFlow：面向所有深度学习框架的NLP数据高效加载器、中文医学NLP公开资源整理 、MedQuAD：(英文)医学问答数据集、将自然语言数字串解析转换为整数和浮点数、Transfer Learning in Natural Language Processing (NLP) 、面向语音识别的中文/英文发音辞典、Tokenizers：注重性能与多功能性的最先进分词器、CLUENER 细粒度命名实体识别 Fine Grained Named Entity Recognition、 基于BERT的中文命名实体识别、中文谣言数据库、NLP数据集/基准任务大列表、nlp相关的一些论文及代码, 包括主题模型、词向量(Word Embedding)、命名实体识别(NER)、文本分类(Text Classificatin)、文本生成(Text Generation)、文本相似性(Text Similarity)计算等，涉及到各种与nlp相关的算法，基于keras和tensorflow 、Python文本挖掘/NLP实战示例、 Blackstone：面向非结构化法律文本的spaCy pipeline和NLP模型通过同义词替换实现文本“变脸” 、中文 预训练 ELECTREA 模型: 基于对抗学习 pretrain Chinese Model 、albert-chinese-ner - 用预训练语言模型ALBERT做中文NER 、基于GPT2的特定主题文本生成/文本增广、开源预训练语言模型合集、多语言句向量包、编码、标记和实现：一种可控高效的文本生成方法、 英文脏话大列表 、attnvis：GPT2、BERT等transformer语言模型注意力交互可视化、CoVoST：Facebook发布的多语种语音-文本翻译语料库，包括11种语言(法语、德语、荷兰语、俄语、西班牙语、意大利语、土耳其语、波斯语、瑞典语、蒙古语和中文)的语音、文字转录及英文译文、Jiagu自然语言处理工具 - 以BiLSTM等模型为基础，提供知识图谱关系抽取 中文分词 词性标注 命名实体识别 情感分析 新词发现 关键词 文本摘要 文本聚类等功能、用unet实现对文档表格的自动检测，表格重建、NLP事件提取文献资源列表 、 金融领域自然语言处理研究资源大列表、CLUEDatasetSearch - 中英文NLP数据集：搜索所有中文NLP数据集，附常用英文NLP数据集 、medical_NER - 中文医学知识图谱命名实体识别 、(哈佛)讲因果推理的免费书、知识图谱相关学习资料/数据集/工具资源大列表、Forte：灵活强大的自然语言处理pipeline工具集 、Python字符串相似性算法库、PyLaia：面向手写文档分析的深度学习工具包、TextFooler：针对文本分类/推理的对抗文本生成模块、Haystack：灵活、强大的可扩展问答(QA)框架、中文关键短语抽取工具",[],Chatbot
620936652,gpt4free,xtekky,61197,2023-03-29T17:00:43Z,2024-11-16T14:57:18Z,162969,61197,29,13325,The official gpt4free repository | various collection of powerful language models,"['chatbot', 'chatbots', 'chatgpt', 'chatgpt-4', 'chatgpt-api', 'chatgpt-free', 'chatgpt4', 'free-gpt', 'gpt', 'gpt-3', 'gpt-4', 'gpt3', 'gpt4', 'gpt4-api', 'language-model', 'openai', 'openai-api', 'openai-chatgpt', 'python', 'reverse-engineering']",Chatbot
626805178,dify,langgenius,51794,2023-04-12T07:40:24Z,2024-11-16T15:01:08Z,58555,51794,358,7506,"Dify is an open-source LLM app development platform. Dify's intuitive interface combines AI workflow, RAG pipeline, agent capabilities, model management, observability features and more, letting you quickly go from prototype to production.","['agent', 'ai', 'anthropic', 'backend-as-a-service', 'chatbot', 'gemini', 'genai', 'gpt', 'gpt-4', 'llama3', 'llm', 'llmops', 'nextjs', 'openai', 'orchestration', 'python', 'rag', 'workflow', 'workflows']",Chatbot
615882673,FastChat,lm-sys,36965,2023-03-19T00:18:02Z,2024-11-16T14:19:32Z,35172,36965,894,4557,"An open platform for training, serving, and evaluating large language models. Release repo for Vicuna and Chatbot Arena.",[],Chatbot
640079149,quivr,QuivrHQ,36660,2023-05-12T23:53:30Z,2024-11-16T10:42:55Z,126557,36660,142,3579,"Opiniated RAG for integrating GenAI in your apps 🧠   Focus on your product rather than the RAG. Easy integration in existing products with customisation!  Any LLM: GPT4, Groq, Llama. Any Vectorstore: PGVector, Faiss. Any Files. Anyway you want. ","['ai', 'api', 'chatbot', 'chatgpt', 'database', 'docker', 'framework', 'frontend', 'groq', 'html', 'javascript', 'llm', 'openai', 'postgresql', 'privacy', 'rag', 'react', 'security', 'typescript', 'vector']",Chatbot
680120071,autogen,microsoft,34155,2023-08-18T11:43:45Z,2024-11-16T14:48:38Z,134886,34155,556,4937,A programming framework for agentic AI 🤖,"['agent-based-framework', 'agent-oriented-programming', 'agentic', 'agentic-agi', 'chat', 'chat-application', 'chatbot', 'chatgpt', 'gpt', 'gpt-35-turbo', 'gpt-4', 'llm-agent', 'llm-framework', 'llm-inference', 'llmops']",Chatbot
621799276,Langchain-Chatchat,chatchat-space,32051,2023-03-31T12:12:45Z,2024-11-16T15:00:50Z,143596,32051,123,5575,"Langchain-Chatchat（原Langchain-ChatGLM）基于 Langchain 与 ChatGLM, Qwen 与 Llama 等语言模型的 RAG 与 Agent 应用 | Langchain-Chatchat (formerly langchain-ChatGLM), local knowledge based LLM (like ChatGLM, Qwen and Llama) RAG and Agent app with langchain ","['chatbot', 'chatchat', 'chatglm', 'chatgpt', 'embedding', 'faiss', 'fastchat', 'gpt', 'knowledge-base', 'langchain', 'langchain-chatglm', 'llama', 'llm', 'milvus', 'ollama', 'qwen', 'rag', 'retrieval-augmented-generation', 'streamlit', 'xinference']",Chatbot
621803253,Flowise,FlowiseAI,31532,2023-03-31T12:23:09Z,2024-11-16T15:01:15Z,27977,31532,390,16430,Drag & drop UI to build your customized LLM flow,"['artificial-intelligence', 'chatbot', 'chatgpt', 'javascript', 'langchain', 'large-language-models', 'llamaindex', 'low-code', 'no-code', 'openai', 'rag', 'react', 'typescript', 'workflow-automation']",Chatbot
612640604,chatbot-ui,mckaywrigley,28784,2023-03-11T14:53:14Z,2024-11-16T09:34:48Z,3644,28784,187,8016,"Come join the best place on the internet to learn AI skills. Use code ""chatbotui"" for an extra 20% off.",[],Chatbot
36633370,awesome-selfhosted,awesome-selfhosted,203253,2015-06-01T02:33:17Z,2024-11-16T14:48:26Z,16381,203253,0,9696,A list of Free Software network services and web applications which can be hosted on your own servers,"['awesome', 'awesome-list', 'cloud', 'free-software', 'hosting', 'privacy', 'self-hosted', 'selfhosted']",Social Network
65600975,pytorch,pytorch,83981,2016-08-13T05:26:41Z,2024-11-16T15:04:10Z,1003939,83981,15597,22640,Tensors and Dynamic neural networks in Python with strong GPU acceleration,"['autograd', 'deep-learning', 'gpu', 'machine-learning', 'neural-network', 'numpy', 'python', 'tensor']",Social Network
212639071,devops-exercises,bregman-arie,66655,2019-10-03T17:31:21Z,2024-11-16T14:21:30Z,4703,66655,34,14885,"Linux, Jenkins, AWS, SRE, Prometheus, Docker, Python, Ansible, Git, Kubernetes, Terraform, OpenStack, SQL, NoSQL, Azure, GCP, DNS, Elastic, Network, Virtualization. DevOps Interview Questions","['ansible', 'aws', 'azure', 'coding', 'containers', 'devops', 'docker', 'git', 'interview', 'interview-questions', 'kubernetes', 'linux', 'openstack', 'production-engineer', 'prometheus', 'python', 'sql', 'sre', 'terraform']",Social Network
3638964,ansible,ansible,62989,2012-03-06T14:58:02Z,2024-11-16T14:25:57Z,256219,62989,875,23914,"Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and maintain. Automate everything from code deployment to network configuration to cloud management, in a language that approaches plain English, using SSH, with no agents to install on remote systems. https://docs.ansible.com.","['ansible', 'hacktoberfest', 'python']",Social Network
162998479,sherlock,sherlock-project,60396,2018-12-24T14:30:48Z,2024-11-16T14:33:09Z,17836,60396,203,6949,Hunt down social media accounts by username across social networks,"['cli', 'cti', 'cybersecurity', 'forensics', 'hacktoberfest', 'information-gathering', 'infosec', 'linux', 'osint', 'pentesting', 'python', 'python3', 'reconnaissance', 'redteam', 'sherlock', 'tools']",Social Network
41912791,v2ray-core,v2ray,45454,2015-09-04T11:42:53Z,2024-11-16T14:56:07Z,55128,45454,12,8952,A platform for building proxies to bypass network restrictions.,"['golang', 'http-proxy', 'proxy', 'shadowsocks', 'socks', 'socks5', 'v2ray', 'vmess']",Social Network
423275200,fuels-rs,FuelLabs,44040,2021-10-31T22:33:54Z,2024-11-16T12:56:56Z,16997,44040,96,1343,Fuel Network Rust SDK,[],Social Network
402860175,fuels-ts,FuelLabs,44040,2021-09-03T18:11:03Z,2024-11-16T12:56:57Z,44621,44040,106,1345,Fuel Network Typescript SDK,"['fuel', 'typescript']",Social Network
22458259,Alamofire,Alamofire,41153,2014-07-31T05:56:19Z,2024-11-16T11:00:41Z,38881,41153,41,7545,Elegant HTTP Networking in Swift,"['alamofire', 'carthage', 'certificate-pinning', 'cocoapods', 'httpurlresponse', 'networking', 'parameter-encoding', 'public-key-pinning', 'request', 'response', 'swift', 'swift-package-manager', 'urlrequest', 'urlsession', 'xcode']",Social Network
191113739,interview_internal_reference,0voice,36629,2019-06-10T06:54:19Z,2024-11-16T13:25:41Z,1160,36629,31,9448,2023年最新总结，阿里，腾讯，百度，美团，头条等技术面试题目，以及答案，专家出题人分析汇总。,"['cpu', 'high-performance', 'interview', 'mongodb', 'mysql', 'network', 'nginx', 'redis', 'storage', 'zookeeper']",Social Network
19374812,tdesktop,telegramdesktop,26329,2014-05-02T12:36:31Z,2024-11-16T14:31:30Z,236295,26329,860,5231,Telegram Desktop messaging app,"['messenger', 'multi-platform', 'telegram', 'telegram-desktop', 'telegram-solution']",Messaging
4307108,nsq,nsqio,24982,2012-05-12T14:37:08Z,2024-11-16T14:06:06Z,14163,24982,70,2899,A realtime distributed messaging platform,"['distributed-systems', 'go', 'message-queue', 'messaging', 'nsq', 'queue']",Messaging
75164823,rocketmq,apache,21253,2016-11-30T08:00:08Z,2024-11-16T10:44:35Z,42807,21253,443,11696,"Apache RocketMQ is a cloud native messaging and streaming platform, making it simple to build event-driven applications.","['cloud-native', 'eventing', 'hacktoberfest', 'java', 'messaging', 'rocketmq', 'streaming']",Messaging
600596928,LibreChat,danny-avila,19128,2023-02-12T01:06:52Z,2024-11-16T14:32:18Z,46193,19128,187,3184,"Enhanced ChatGPT Clone: Features Anthropic, AWS, OpenAI, Assistants API, Azure, Groq, o1, GPT-4o, Mistral, OpenRouter, Vertex AI, Gemini, Artifacts, AI model switching, message search, langchain, DALL-E-3, ChatGPT Plugins, OpenAI Functions, Secure Multi-User System, Presets, completely open-source for self-hosting. Actively in public development.","['ai', 'anthropic', 'artifacts', 'assistant-api', 'aws', 'azure', 'chatgpt', 'chatgpt-clone', 'claude', 'clone', 'dall-e-3', 'gemini', 'google', 'librechat', 'o1', 'openai', 'plugins', 'search', 'vision', 'webui']",Messaging
5901900,disruptor,LMAX-Exchange,17498,2012-09-21T13:42:24Z,2024-11-15T02:05:45Z,10070,17498,18,3923,High Performance Inter-Thread Messaging Library,"['concurrency', 'disruptor', 'java']",Messaging
51575745,commitlint,conventional-changelog,16895,2016-02-12T08:37:56Z,2024-11-16T14:18:40Z,18011,16895,178,908,📓 Lint commit messages,"['commit', 'conventions', 'git', 'lint']",Messaging
6443435,nats-server,nats-io,15968,2012-10-29T16:12:24Z,2024-11-16T10:47:55Z,39150,15968,382,1407,"High-Performance server for NATS.io, the cloud and edge native messaging system.","['cloud', 'cloud-computing', 'cloud-native', 'distributed-systems', 'go', 'golang', 'message-bus', 'message-queue', 'messaging', 'microservices-architecture', 'nats-server']",Messaging
71551629,gitmoji,carloscuesta,15783,2016-10-21T09:36:02Z,2024-11-16T00:58:34Z,7025,15783,25,802,An emoji guide for your commit messages. 😜 ,"['commits', 'emoji', 'gitmoji']",Messaging
10999165,bull,OptimalBits,15568,2013-06-27T14:35:35Z,2024-11-16T05:28:20Z,3978,15568,157,1433,Premium Queue package for handling distributed jobs and messages in NodeJS.,"['job', 'job-queue', 'message', 'message-queue', 'nodejs', 'priority', 'queue', 'rate-limiter', 'scheduler']",Messaging
2281775,WebViewJavascriptBridge,marcuswestin,14296,2011-08-28T02:25:27Z,2024-11-14T12:31:42Z,522,14296,104,2981,An iOS/OSX bridge for sending messages between Obj-C and JavaScript in UIWebViews/WebViews,[],Messaging
7569578,discourse,discourse,42329,2013-01-12T00:25:55Z,2024-11-16T07:22:21Z,680980,42329,74,8335,"A platform for community discussion. Free, open, simple.","['discourse', 'ember', 'forum', 'javascript', 'postgresql', 'rails', 'ruby']",Forum
28628034,flarum,flarum,15381,2014-12-30T11:13:08Z,2024-11-16T14:56:08Z,737,15381,1,1572,Simple forum software for building great communities.,"['flarum', 'forum', 'laravel', 'php']",Forum
9603889,NodeBB,NodeBB,14228,2013-04-22T16:49:40Z,2024-11-15T22:52:23Z,92267,14228,178,2799,Node.js based forum software built for the modern web,"['community', 'forum', 'javascript', 'mongodb', 'node', 'nodebb', 'nodejs', 'postgresql', 'redis', 'socket-io', 'websockets']",Forum
170729130,lemmy,LemmyNet,13285,2019-02-14T17:17:17Z,2024-11-16T14:33:49Z,36155,13285,182,884,🐀 A link aggregator and forum for the fediverse,"['activitypub', 'chat', 'fediverse', 'lemmy', 'link-aggregator', 'reddit', 'rust']",Forum
542931741,incubator-answer,apache,12937,2022-09-29T05:16:19Z,2024-11-16T07:09:06Z,12586,12937,87,1001,"A Q&A platform software for teams at any scales. Whether it's a community forum, help center, or knowledge management platform, you can always count on Apache Answer.","['community', 'forum', 'go', 'golang', 'hacktoberfest', 'q-and-a', 'question', 'react', 'typescript']",Forum
6486826,ppsspp,hrydgard,11382,2012-11-01T08:41:48Z,2024-11-16T14:00:09Z,313404,11382,1247,2186,"A PSP emulator for Android, Windows, Mac and Linux, written in C++. Want to contribute? Join us on Discord at https://discord.gg/5NJB6dD or just send pull requests / issues. For discussion use the forums at forums.ppsspp.org.","['emulators', 'ppsspp', 'psp']",Forum
3199002,linux,raspberrypi,11174,2012-01-17T12:10:20Z,2024-11-16T12:16:02Z,4256657,11174,952,5011,Kernel source tree for Raspberry Pi-provided kernel builds. Issues unrelated to the linux kernel should be posted on the community forum at https://forums.raspberrypi.com/,[],Forum
118620583,TTS,mozilla,9406,2018-01-23T14:22:06Z,2024-11-16T13:40:20Z,125774,9406,33,1255,:robot: :speech_balloon: Deep learning for Text to Speech  (Discussion forum: https://discourse.mozilla.org/c/tts),"['dataset-analysis', 'deep-learning', 'gantts', 'glow-tts', 'melgan', 'multiband-melgan', 'python', 'pytorch', 'speaker-encoder', 'speech', 'tacotron', 'tacotron2', 'tensorflow2', 'text-to-speech', 'tts', 'vocoder']",Forum
28257573,framework,flarum,6378,2014-12-20T05:12:03Z,2024-11-16T06:50:40Z,139787,6378,53,837,Simple forum software for building great communities.,"['community', 'flarum', 'forum', 'hacktoberfest', 'javascript', 'laravel', 'php']",Forum
75675698,app,standardnotes,5376,2016-12-05T23:31:33Z,2024-11-16T05:39:22Z,1654551,5376,83,428,"Think fearlessly with end-to-end encrypted notes and files. For issues, visit https://standardnotes.com/forum or https://standardnotes.com/help.","['encrypted', 'evernote', 'markdown', 'note-taking', 'notes', 'privacy', 'secure', 'snippets']",Forum
28457823,freeCodeCamp,freeCodeCamp,405559,2014-12-24T17:49:19Z,2024-11-16T14:39:55Z,474714,405559,237,38050,freeCodeCamp.org's open-source codebase and curriculum. Learn to code for free.,"['careers', 'certification', 'community', 'curriculum', 'd3', 'education', 'freecodecamp', 'hacktoberfest', 'javascript', 'learn-to-code', 'math', 'nodejs', 'nonprofits', 'programming', 'react', 'teachers']",Community
